shapeid,OBJECTID,BUILDING_NUMBER,LAYER,Shape_Leng,Shape_Area,x,y,Path
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09377897,42.35978212,2352
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09384015,42.35976201,2353
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09384568,42.35976973,2354
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09385758,42.3597664,2355
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09389168,42.35982003,2356
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09388085,42.35982419,2357
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09388587,42.3598325,2358
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09378097,42.35986832,2359
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09377496,42.35985952,2360
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09376276,42.35986389,2361
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09373069,42.35980961,2362
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09374252,42.35980595,2363
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09373766,42.35979581,2364
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09370748,42.35980621,2365
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09370257,42.35979843,2366
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09364721,42.35981632,2367
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09370907,42.3599162,2368
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09361145,42.35994626,2369
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09361105,42.35994563,2370
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09355077,42.35984874,2371
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09349941,42.35986683,2372
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09350454,42.35987481,2373
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09343041,42.35990015,2374
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09342429,42.35989091,2375
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09341454,42.35989439,2376
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09338121,42.35984159,2377
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09339418,42.35983746,2378
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09333994,42.35975141,2379
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09332934,42.35975419,2380
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09332022,42.35973959,2381
91,95,9,C-BLDG,709.5449353,11707.01268,-71.09321717,42.35977556,2382
80,84,10,C-BLDG,678.7345171,24380.33563,-71.09170336,42.35970098,2153
